text,intent,responses
name of computer hod,computerhod,['All engineering departments have only one hod XYZ who available on (PLACE NAME)']
Who is extc HOD,extchod,['Different school wise hod are different.So be more clear with your school or department']
Where is  extc HOD,extchod,['Different school wise hod are different.So be more clear with your school or department']
extc hod,extchod,['Different school wise hod are different.So be more clear with your school or department']
name of extc hod,extchod,['Different school wise hod are different.So be more clear with your school or department']
what is the name of principal,principal,['XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate']
whatv is the principal name,principal,['XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate']
principal name,principal,['XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate']
Who is college principal,principal,['XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate']
Where is principal's office,principal,['XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate']
principal,principal,['XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate']
name of principal,principal,['XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate']
exam dates,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
exam schedule,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
When is semester exam,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
Semester exam timetable,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
sem,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
semester,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
exam,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
when is exam,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
exam timetable,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
exam dates,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
when is semester,sem,"['Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>']"
what is the process of admission,admission,"['Application can also be submitted online through the Unversity\'s  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>']"
what is the admission process,admission,"['Application can also be submitted online through the Unversity\'s  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>']"
How to take admission in your college,admission,"['Application can also be submitted online through the Unversity\'s  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>']"
What is the process for admission,admission,"['Application can also be submitted online through the Unversity\'s  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>']"
admission,admission,"['Application can also be submitted online through the Unversity\'s  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>']"
admission process,admission,"['Application can also be submitted online through the Unversity\'s  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>']"
scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
Is scholarship available,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship engineering,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship it,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship ce,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship mechanical,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship civil,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship chemical,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship for AI/ML,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
available scholarships,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship for computer engineering,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship for IT engineering,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship for mechanical engineering,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship for civil engineering,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
scholarship for chemical engineering,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
list of scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
comps scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
IT scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
mechanical scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
civil scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
chemical scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
automobile scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
first year scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
second year scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
third year scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
fourth year scholarship,scholarship,"['Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>']"
What facilities college provide,facilities,"[""Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen""]"
College facility,facilities,"[""Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen""]"
What are college facilities,facilities,"[""Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen""]"
facilities,facilities,"[""Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen""]"
facilities provided,facilities,"[""Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen""]"
max number of students,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
number of seats per branch,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
number of seats in each branch,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
maximum number of seats,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
maximum students intake,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
What is college intake,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
how many stundent are taken in each branch,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
seat allotment,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
seats,college intake,"['For IT, Computer and extc 60 per branch and seat may be differ for different department.']"
college dress code,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
college dresscode,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
what is the uniform,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
can we wear casuals,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
Does college have an uniform,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
Is there any uniform,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
uniform,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
what about uniform,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
do we have to wear uniform,uniform,['ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER']
what are the different committe in college,committee,['For the various committe in college contact this number: ADD NUMBER']
different committee in college,committee,['For the various committe in college contact this number: ADD NUMBER']
Are there any committee in college,committee,['For the various committe in college contact this number: ADD NUMBER']
Give me committee details,committee,['For the various committe in college contact this number: ADD NUMBER']
committee,committee,['For the various committe in college contact this number: ADD NUMBER']
how many committee are there in college,committee,['For the various committe in college contact this number: ADD NUMBER']
I love you,random,"['I am not program for this, please ask appropriate query']"
Will you marry me,random,"['I am not program for this, please ask appropriate query']"
Do you love me,random,"['I am not program for this, please ask appropriate query']"
fuck,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
bitch,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
shut up,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
hell,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
stupid,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
idiot,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
dumb ass,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
asshole,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
fucker,swear,"['please use appropriate language', 'Maintaining decency would be appreciated']"
holidays,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
when will semester starts,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
when will semester end,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
when is the holidays,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
list of holidays,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
Holiday in these year,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
holiday list,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
about vacations,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
about holidays,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
When is vacation,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
When is holidays,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
how long will be the vacation,vacation,['Academic calender is given to you by your class-soordinators after you join your respective classes']
sports and games,sports,"['Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>']"
give sports details,sports,"['Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>']"
sports infrastructure,sports,"['Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>']"
sports facilities,sports,"['Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>']"
information about sports,sports,"['Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>']"
Sports activities,sports,"['Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>']"
please provide sports and games information,sports,"['Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>']"
okk,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
okie,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
nice work,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
well done,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
good job,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
thanks for the help,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
Thank You,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
its ok,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
Thanks,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
Good work,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
k,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
ok,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
okay,salutaion,"['I am glad I helped you', 'welcome, anything else i can assist you with?']"
what can you do,task,"['I can answer to low-intermediate questions regarding college', 'You can ask me questions regarding college, and i will try to answer them']"
what are the thing you can do,task,"['I can answer to low-intermediate questions regarding college', 'You can ask me questions regarding college, and i will try to answer them']"
things you can do,task,"['I can answer to low-intermediate questions regarding college', 'You can ask me questions regarding college, and i will try to answer them']"
what can u do for me,task,"['I can answer to low-intermediate questions regarding college', 'You can ask me questions regarding college, and i will try to answer them']"
how u can help me,task,"['I can answer to low-intermediate questions regarding college', 'You can ask me questions regarding college, and i will try to answer them']"
why i should use you,task,"['I can answer to low-intermediate questions regarding college', 'You can ask me questions regarding college, and i will try to answer them']"
ragging,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
is ragging practice active in college,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
does college have any antiragging facility,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
is there any ragging cases,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
is ragging done here,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
ragging against,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
antiragging facility,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
ragging juniors,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
ragging history,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
ragging incidents,ragging,"['We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging']"
hod,hod,"['HODs differ for each branch, please be more specific like: (HOD it)']"
hod name,hod,"['HODs differ for each branch, please be more specific like: (HOD it)']"
who is the hod,hod,"['HODs differ for each branch, please be more specific like: (HOD it)']"
